Len1	Boot1	Len2	Boot2	NDesc	LeafA	LeafB	Node1	Node2
1.917492	1.000000	2.12201024805	100.0	3	YBQN	OFTV	642	1798
1.993745	1.000000	2.09055587144	100.0	2	IRBN	OFTV	644	1800
0.140954	0.582894	0.13161523619	37.0	5	HPXA	BNCU	647	1783
0.297707	0.827623	0.377814156184	100.0	4	TGKW	BNCU	649	1785
0.024724	0.426109	0.106232979788	90.0	3	KRUQ	BNCU	651	1787
2.672105	1.000000	3.47298409895	100.0	2	KRUQ	UUHD	652	1789
3.406030	1.000000	4.82487927485	100.0	2	PIUF	JHFI	658	1775
2.766942	1.000000	3.62527009297	100.0	7	ILBQ	HERT	661	1761
0.090661	0.490862	0.143959810733	98.0	6	ILBQ	TXVB	662	1763
0.515547	0.993421	0.669454100352	100.0	5	ILBQ	TFYI	663	1765
1.907248	1.000000	1.96482520944	100.0	2	ILBQ	WJLO	664	1766
1.058423	0.999995	1.0117005809	100.0	3	JPYU	TFYI	667	1769
2.105508	1.000000	2.04576380498	100.0	2	JPYU	HMHL	668	1771
2.476422	1.000000	4.14736695475	100.0	42	WSPM	SKQD	674	1803
0.588801	0.993134	0.613825239774	100.0	41	WSPM	UHLI	675	1805
1.855991	1.000000	2.15571236377	100.0	38	WSPM	WOGB	676	1811
1.827135	1.000000	1.97093684072	100.0	37	WSPM	HVBQ	677	1813
0.938831	0.999854	1.06211540225	100.0	34	WSPM	HRWG	678	1819
1.110393	0.999992	1.24024427073	100.0	33	WSPM	AWOI	679	1821
2.286031	1.000000	2.77824274921	100.0	32	WSPM	YEPO	680	1823
0.361309	0.904887	0.483378259238	100.0	29	WSPM	ZQRI	681	1829
0.257978	0.804919	0.530823140996	100.0	28	WSPM	BPSG	682	1831
1.772105	1.000000	2.59673626728	100.0	20	WSPM	YWNF	683	1847
0.053365	0.477588	0.129295408085	96.0	19	WSPM	ORKS	684	1849
0.271181	0.816990	0.438725776453	100.0	18	WSPM	BGXB	685	1851
0.626381	0.992764	0.760991737599	100.0	15	WSPM	CMEQ	686	1857
0.184948	0.724645	0.253988532762	100.0	14	WSPM	WNGH	687	1859
2.515271	1.000000	3.49104399541	100.0	13	WSPM	DHWX	688	1861
0.152208	0.661937	0.190870343809	99.0	12	WSPM	QKQO	689	1863
0.078839	0.527945	0.118698420003	94.0	11	WSPM	ZACW	690	1865
0.247201	0.791894	0.515410774132	100.0	9	WSPM	TAVP	691	1869
0.064327	0.497491	0.0375137889969	52.0	8	WSPM	EEMJ	692	1871
0.021113	0.419544	0.0914854066633	81.0	6	WSPM	QMWB	693	1875
0.233316	0.783985	0.36256526725	100.0	2	WSPM	MIRS	694	1880
0.051179	0.470967			4	JADL	QMWB	697	
0.780577	0.999669	1.03718003212	100.0	2	JADL	VBMM	698	1883
0.863787	0.999925	1.09789090403	100.0	2	TMAJ	QMWB	701	1876
